dry_kg,prop_kg,n_engines,vinf_kms,converged,success,mismatch,escape_dv_kms,cruise_dv_kms,total_dv_kms,margin_kms,prop_needed_kg,prop_margin_kg,tof_days,dep_date,arr_date,error
850.0,300.0,2,3.3,True,True,7.18521679614e-05,0.0,7.18309328916,7.18309328916,2.08646891174,242.823440945,57.1765590554,1323.48392231,2007-10-15,2011-05-30,
850.0,450.0,2,3.3,True,True,6.30992064977e-05,0.0,8.00784222387,8.00784222387,5.02136855674,301.910897272,148.089102728,1369.28058985,2007-10-15,2011-07-15,
800.0,400.0,2,3.3,True,True,4.99200367676e-05,0.0,6.87176320763,6.87176320763,5.56198430877,242.923690044,157.076309956,1322.12474239,2007-10-15,2011-05-29,
700.0,450.0,2,3.3,True,True,7.18521679614e-05,0.0,7.18309328916,7.18309328916,8.04033969883,242.823440945,207.176559055,1323.48392231,2007-10-15,2011-05-30,
750.0,350.0,2,3.3,True,True,6.76888056474e-06,0.0,7.57352623475,7.57352623475,4.17108229028,244.037969684,105.962030316,1371.84153117,2007-10-13,2011-07-15,
700.0,400.0,2,3.3,True,True,6.76888056474e-06,0.0,7.57352623475,7.57352623475,6.28677591556,244.037969684,155.962030316,1371.84153117,2007-10-13,2011-07-15,
750.0,400.0,2,3.3,True,True,7.18521679614e-05,0.0,7.18309328916,7.18309328916,5.92464607355,242.823440945,157.176559055,1323.48392231,2007-10-15,2011-05-30,
650.0,450.0,2,3.3,True,True,6.76888056474e-06,0.0,7.57352623475,7.57352623475,8.55932612096,244.037969684,205.962030316,1371.84153117,2007-10-13,2011-07-15,
650.0,500.0,2,3.3,True,True,7.18521679614e-05,0.0,7.18309328916,7.18309328916,10.3128899042,242.823440945,257.176559055,1323.48392231,2007-10-15,2011-05-30,
700.0,350.0,2,3.3,True,True,8.77038073076e-05,0.0,7.57033378876,7.57033378876,4.86341372764,233.038468929,116.961531071,1367.25894614,2007-10-15,2011-07-13,
750.0,300.0,2,3.3,True,True,8.77038073076e-05,0.0,7.57033378876,7.57033378876,2.74772010236,233.038468929,66.9615310707,1367.25894614,2007-10-15,2011-07-13,
650.0,350.0,2,3.3,True,True,6.6434087452e-05,0.0,6.77334415462,6.77334415462,6.43678393275,201.257349984,148.742650016,1352.20465413,2007-10-15,2011-06-28,
650.0,400.0,2,3.3,True,True,8.77038073076e-05,0.0,7.57033378876,7.57033378876,7.13596393303,233.038468929,166.961531071,1367.25894614,2007-10-15,2011-07-13,
700.0,300.0,2,3.3,True,True,6.6434087452e-05,0.0,6.77334415462,6.77334415462,4.16423372736,201.257349984,98.7426500162,1352.20465413,2007-10-15,2011-06-28,
750.0,500.0,2,3.3,True,True,7.79960989028e-05,0.0,7.29412619412,7.29412619412,8.37054310492,267.466458441,232.533541559,1344.38045537,2007-10-15,2011-06-20,
650.0,300.0,2,3.3,True,True,8.77893136162e-05,0.0,7.16686794069,7.16686794069,4.47033103652,201.428108741,98.5718912588,1369.96579163,2007-10-14,2011-07-15,
700.0,500.0,2,3.3,True,True,4.99200367676e-05,0.0,6.87176320763,6.87176320763,9.65677714841,242.923690044,257.076309956,1322.12474239,2007-10-15,2011-05-29,
850.0,500.0,2,3.3,True,True,5.83858068943e-05,0.0,8.38777149441,8.38777149441,5.79876133424,326.176032286,173.823967714,1364.39576513,2007-10-15,2011-07-10,
800.0,500.0,2,3.3,True,True,6.30992064977e-05,0.0,8.00784222387,8.00784222387,6.88044650418,301.910897272,198.089102728,1369.28058985,2007-10-15,2011-07-15,
